"";"record_id";"other_titles";"publisher";"country_of_publication";"main_topic";"data_type";"related_resources";"holdings";"holdings_begin";"holdings_end";"issn";"arabic_abstract";"english_abstract";"french_abstract";"canonical";"title"
"11";"BIM-108780";"al-Marquab";"Université de Balamand Centre d'études chrétien-musulmanes";"Lebanon";"Human Sciences (Multidisciplinary)Political Sciences";"Journals";NA;1;1998-09-30;1998-09-30;NA;"مجلة علمية تصدر عن جامعة البلمند، مركز الدراسات المسيحية الإسلامية. تنشر أبحاثها في مجال العلوم الاجتماعية و العلوم الإنسانية.";NA;NA;"https://search.emarefa.net/detail/BIM-108780";" المرقب"
"12";"BIM-108920";"al-Ijtihad";"دارالاجتهاد للأبحاث و الترجمة و النشر";"Lebanon";"Religion";"Journals";NA;2;1989-03-31;2002-12-31;NA;"مجلة متخصصة تعنى بقضايا الدين و المجتمع و التجديد العربي الإسلامي تصدر عن دار الاجتهاد للأبحاث و الترجمة و النشر، تنشر أبحاثها في مجال العلوم الإنسانية.";NA;NA;"https://search.emarefa.net/detail/BIM-108920";" الاجتهاد"
"13";"BIM-109161";"al-Kufa for Law And Political SciencesMajallah al-Kufah lil-Ulum al-Qanuniyah wa-al-Siyasiyahal-Kufa Journal for Law and Political Sciences";"University of Kufa Faculty of Law";"Iraq";"LawPolitical Sciences";"Journals";NA;44;2009-12-31;2020-03-31;"2070-9838";"مجلة محكمة تصدر عن كلية القانون و العلوم السياسية جامعة الكوفة، تاريخ نشر أول عدد سنة 2009، عدد الأعداد المنشورة كل سنة أربعة أعداد.";NA;NA;"https://search.emarefa.net/detail/BIM-109161";" مجلة الكوفة للعلوم القانونية و السياسية"
"14";"BIM-109320";"Faqih lil-Bahth wa-al-TatwirFakieh Research and Development";"Fakieh Research and Development Center";"Saudi Arabia";"Human Sciences (Multidisciplinary)Social Sciences (Multidisciplinary)";"Journals";NA;6;2007-03-31;2010-09-30;"1658-3795";"مجلة علمية تصدر عن مركز فقيه للأبحاث و التطوير. تنشر أبحاثها في مجال العلوم الإجتماعية و العلوم الإنسانية.";NA;NA;"https://search.emarefa.net/detail/BIM-109320";" فقيه للبحث و التطوير"
"15";"BIM-10964";"التقرير الإحصائي السنوي لأداء الاقتصاد الأردنيالتقرير السنوي لأداء الاقتصاد الأردني";"غرفة تجارة عمان إدارة الدراسات و التدريب وحدة الدراسات و الاتفاقيات الدولية";"Jordan";"Periodic Statistical ReportsEconomy";"Journals";NA;4;2009-04-30;2015-04-30;NA;"تقرير سنوي يصدر عن غرفة تجارة عمان، إدارة الدراسات و التدريب، وحدة الدراسات و الاتفاقيات الدولية / الأردن.";NA;NA;"https://search.emarefa.net/detail/BIM-10964";" التقرير الاقتصادي السنوي"
"16";"BIM-110060";"al-Buḥūth al-Ṣināʻīyah : Majallah ʻIlmīyah Mutakhaṣiṣah Niṣf Sanawīyah";"Industrial Research Center";"Libya";"Economy";"Journals";NA;8;2000-03-31;2009-12-31;NA;"مجلة علمية متخصصة محكمة نصف سنوية تصدر عن مركز البحوث الصناعية. تنشر أبحاثها في مجال العلوم الاقتصادية والمالية وإدارة الأعمال";NA;NA;"https://search.emarefa.net/detail/BIM-110060";" البحوث الصناعية"
"17";"BIM-110421";"Majallat al-Iqtisadi al-KhalijiEconomic Gulf Gulf Economist";"University of Basrah Basrah and Arab Gulf Studies Center";"Iraq";"Economics & Business Administration";"Journals";NA;25;2008-12-31;2019-03-31;"1817-5880";"مجلة علمية محكمة تعنى بالشؤون الاقتصادية و الإدارية و المحاسبية و المالية للخليج العربي و الجزيرة العربية تصدر عن مركز دراسات الخليج العربي جامعة البصرة تصدر عن جامعة البصرة، مركز دراسات الخليج العربي تنشر أبحاثها في مجال العلوم الاقتصادية و المالية و إدارة الأعمال.";"مجلة علمية محكمة تعنى بالشؤون الاقتصادية و الإدارية و المحاسبية و المالية للخليج العربي و الجزيرة العربية تصدر عن مركز دراسات الخليج العربي جامعة البصرة تصدر عن جامعة البصرة، مركز دراسات الخليج العربي تنشر أبحاثها في مجال العلوم الاقتصادية و المالية و إدارة الأعمال.";NA;"https://search.emarefa.net/detail/BIM-110421";" مجلة الاقتصادي الخليجي"
"18";"BIM-11053";"التجارة الخارجية الأردنيةتقرير التجارة الخارجية الأردنيةتقرير تفصيلي حول الأداء العام للتجارة الخارجية الأردنية";"غرفة تجارة عمان إدارة الدراسات و التدريب وحدة الدراسات و الاتفاقيات الدولية";"Jordan";"Periodic Statistical ReportsEconomy";"Journals";NA;1;2007-04-30;2007-04-30;NA;NA;NA;NA;"https://search.emarefa.net/detail/BIM-11053";" مؤشرات التجارة الخارجية الأردنية"
"19";"BIM-11072";"تقرير حول الموازنة العامة للدولةتقرير عن قانون الموازنة العامةتقرير تفصيلي حول مشروع قانون الموازنة العامة للدولة";"غرفة تجارة عمان إدارة الدراسات و التدريب وحدة الدراسات و الاتفاقيات الدولية";"Jordan";"Economics & Business AdministrationPeriodic Statistical Reports";"Journals";NA;1;2008-12-31;2008-12-31;NA;"تقرير سنوي يصدر عن غرفة تجارة عمان، إدارة الدراسات و التدريب، وحدة الدراسات و الاتفاقيات الدولية / الأردن.";NA;NA;"https://search.emarefa.net/detail/BIM-11072";" تقرير الموازنة العامة"
"20";"BIM-110960";"The Arab Gulf Journalal-Khalij al-Arabi";"University of Basrah Basrah and Arab Gulf Studies Center";"Iraq";"Human Sciences (Multidisciplinary)Social Sciences (Multidisciplinary)";"Journals";NA;26;2006-12-31;2019-06-30;"1012-6384";"مجلة علمية فصلية محكمة تعنى بشؤون الخليج العربي و الجزيرة في جميع النواحي الاقتصادية و السياسية و الاجتماعية و اللغوية يصدرها مركز دراسات البصرة و الخليج العربي-جامعة البصرة على شكل مجلد في داخلها عددين.";NA;NA;"https://search.emarefa.net/detail/BIM-110960";" مجلة الخليج العربي"
